Food,Calories,Protein,Carbohydrates,Fat,Ingredients
Biryani,290,8,35,12,"Rice, Chicken/Mutton, Onion, Tomato, Yogurt, Mint, Coriander, Biryani Masala, Ghee"
chapathi,120,3.5,20,2,"Whole Wheat Flour, Water, Salt, Oil"
chola puri,250,6,40,8,"Maida Flour, Chickpeas, Onion, Tomato, Ginger, Garlic, Spices, Oil"
Dal - Curry,180,9,22,5,"Toor Dal, Onion, Tomato, Turmeric, Garlic, Curry Leaves, Mustard Seeds"
Dosa,168,4,30,3,"Rice, Urad Dal, Fenugreek Seeds, Salt, Oil"
Gulab Jamun,150,2,22,6,"Milk Powder, Maida, Ghee, Sugar, Cardamom"
Idly,58,2,12,0.4,"Rice, Urad Dal, Fenugreek Seeds, Salt"
Jalebi,150,1,35,2,"Maida, Yogurt, Sugar Syrup, Saffron, Oil"
kadai panner,260,12,10,18,"Paneer, Onion, Tomato, Capsicum, Ginger, Garlic, Kadai Masala"
Kheer,180,5,28,6,"Rice, Milk, Sugar, Cardamom, Cashew, Raisins"
modak,160,3,30,4,"Rice Flour, Coconut, Jaggery, Cardamom"
pakoda,220,5,18,14,"Gram Flour, Onion, Green Chilli, Curry Leaves, Oil"
pani puri,180,4,30,5,"Puri, Potato, Chickpeas, Tamarind Chutney, Mint Water, Spices"
pavbhaji,300,8,42,10,"Pav Bread, Potato, Tomato, Onion, Peas, Butter, Pav Bhaji Masala"
Poha,180,4,32,5,"Flattened Rice, Onion, Mustard Seeds, Curry Leaves, Peanuts"
Rajma chawal,280,10,45,5,"Kidney Beans, Rice, Onion, Tomato, Ginger, Garlic, Spices"
Rasmalai,180,6,20,8,"Paneer, Milk, Sugar, Cardamom, Pistachio"
Samosa,260,5,30,15,"Maida, Potato, Peas, Green Chilli, Spices, Oil"
Vada,140,4,15,8,"Urad Dal, Onion, Green Chilli, Curry Leaves, Pepper, Oil"
vada pav,290,7,35,14,"Pav Bread, Potato, Garlic Chutney, Green Chilli, Gram Flour, Oil"
